_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
31,772,Evangel Hall,"552 Adelaide St W, Toronto, ON     M5V 3W8","Waterfront Communities-The Island, 77",416-504-3563,information@evangelhall.ca,"<a href=""http://www.evangelhall.ca"" target=""_blank"">www.evangelhall.ca</a>",Homeless or socially isolated men and women * some programs for children and youth,"<b>Adult drop-in</b> -- soup, sandwiches, coffee and tea with hot meal at 10:30 am * counselling, including budgeting and addictions referral * form filling * housing help * shower and laundry facilities * emergency clothing * voluntary trusteeships for local residents * nursing services -- Tue, Fri 10 am-12 noon * dental clinic -- call for eligibility criteria and appointment, ext 290 * Downtown Legal Services -- call for date and time, ext 240 * ID Clinic, Monday mornings * Alcoholics Anonymous, Narcotics Anonymous Mon-Fri, statutory holidays at noon * Spirit Circle, open to everyone, ext 224 * Bible study/discussion group, Sunday worship, ext 224<br><br>

<b>Meal programs</b> -- children and youth breakfast club * community supper <br><br>

<b>Youth programs</b> -- September to June, 416-504-3563 ext 229 -- Homework Club, Monday 3 pm-6 pm * Boys Club Tuesday 3 pm-5:45 pm * Girls Club Wednesday 3 pm-5:45 pm * Teen Drop-in, Thursday 3 pm-6 pm",Call or drop in,English,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Administration -- Mon-Fri 9 am-5 pm<br><br>

<b>Adult drop-in</b> -- Mon-Fri 9 am-12:30 pm, Sat and statutory holidays 9 am-2:30 pm * <b>children and youth breakfast club</b> -- Thu 7:30 am-8:45 am * <b>community supper</b> --  Sundays and 2nd and 3rd Thu",(50) Non Profit ; (51) Registered Charity,2015-08-13T04:00:00,10223949,,,,,552 Adelaide St W,former Toronto,M5V 3W8,"{u'type': u'Point', u'coordinates': (-79.40245643, 43.6455644377)}"
32,773,Thorncliffe Neighbourhood Office,"10 Gateway Blvd, Ste 104, Toronto, ON     M3C 3A1","Flemingdon Park, 44",416-424-2900,flemoreception@thorncliffe.org,"<a href=""http://www.thorncliffe.org"" target=""_blank"">www.thorncliffe.org</a>",Varies by program,"Multiservice neighbourhood agency * information and referral * support group for women * counselling for women in abusive relationships * drop-in * homework club * youth and children's programs * access to computers, fax, photocopier and telephone * free Internet access * income tax clinic * resume help for youth and immigrants * settlement services and advocacy for immigrants and newcomers * community development * workshops<br><br> 

<b>Flemingdon Park Housing Help Centre</b> -- assistance with housing issues, including housing search, follow up and support, assistance with applications for subsidized housing * eviction prevention and housing stabilization services * case management, counselling and advocacy * information and referral * specialized housing help to individuals with complex needs * housing/landlord registry * information and education on tenant's rights and responsibilities * landlord/tenant mediation and advocacy * Housing Connections (see separate entry) Community Partner -- assistance with housing search and application process * drop in and off-site service * Streets to Homes Follow up Program -- support to previously homeless individuals 
<br><br>

<b>Rent Bank</b> access centre -- interest-free loans to low income individuals, couples, seniors or families living in market rent units who face eviction as a result of rental arrears * must have legal status in Canada and meet income requirements * clients of Ontario Works and Ontario Disability Support Program may be eligible * landlord and tenant mediation * money management advice * follow-up search assistance and community referrals<br><br>

Access centre for <b>Ontario Electricity Support Program</b> -- assistance with applications * also for <b>LEAP (Low Income Energy Assistance Program)</b>, sponsored by Toronto Hydro Electric System and United Way Toronto -- assistance to low income individuals and families who are in arrears for their electricity utility bills and have exhausted all other sources of financial support * <b>for help with Enbridge gas bills call 1-855-487-5327</b>",Call or drop in,English ; other languages may be available * interpreters available for women in abusive relationships -- call ahead to arrange,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-11-20T05:00:00,8929161,,,,,10 Gateway Blvd,North York,M3C 3A1,"{u'type': u'Point', u'coordinates': (-79.3327080448, 43.709781227)}"
33,774,Doorsteps Neighbourhood Services,"Chalkfarm Community Centre, 180 Chalkfarm Dr, Toronto, ON     M3L 2H8","Downsview-Roding-CFB, 26",416-241-6384,info@doorsteps.ca,"<a href=""http://www.doorsteps.ca"" target=""_blank"">www.doorsteps.ca</a>",,Family resource centre * information and referral * after school program * children's programs * community development * community garden * community healthy heart lunch * computers for neighbourhood use * multicultural women's support group * outreach * parenting programs including Nobody's Perfect * pre-employment support * settlement worker * summer camp * volunteer program * some programs co-sponsored by other agencies,,English ; Bengali ; Filipino ; Punjabi ; Spanish ; staff speak some other languages,Not Accessible,Mon-Fri 9:30 am-4:30 pm,(50) Non Profit ; (51) Registered Charity,2015-02-06T05:00:00,9035754,,,,,180 Chalkfarm Dr,North York,M3L 2H8,"{u'type': u'Point', u'coordinates': (-79.5118117459, 43.7240398519)}"
34,775,Hospice Toronto,"55 Eglinton Ave E, Ste 502, Toronto, ON     M4P 1G8","Mount Pleasant West, 104",416-364-1666,,"<a href=""http://ycptoronto.com"" target=""_blank"">ycptoronto.com</a>","Children and youth 5-18 years who have assumed a significant caregiving role for a family member coping with a physical or developmental challenge, chronic or life threatening illness, mental health or addiction issue, or a language barrier","Variety of weekly programs, drop-in nights and special events to reduce isolation, improve stress relief strategies, coping abilities, self-esteem, and social and self care skills * family and peer support * social and recreation opportunities, fitness and art activities","Self-referral or referral from professionals * call, email or visit website for information or referral form",English,Wheelchair accessible building including main entrance and barrier free washrooms * braille elevator * varies with program locations -- call for details,Administrative office -- Mon-Fri 9 am-5 pm * program hours vary -- call for details,(50) Non Profit ; (51) Registered Charity,2015-09-16T04:00:00,800592,,,,,55 Eglinton Ave E,former Toronto,M4P 1G8,"{u'type': u'Point', u'coordinates': (-79.3960778236, 43.7069069156)}"
35,781,West Neighbourhood House,"248 Ossington Ave, Toronto, ON     M6J 3A2","Trinity-Bellwoods, 81",416-536-1234 ext 401,janitr@westnh.org,"<a href=""http://www.westnh.org"" target=""_blank"">www.westnh.org</a>","Permanent rsidents and refugee claimants including socially marginalized, homeless and non-status","<b>Settlement services</b> -- small ethnic-based information groups * information and referral * group settlement sessions * individual assistance with immigration, orientation and other settlement-related issues * employment support * computer and Internet access * workshops * resource centre <br><br>

 <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br>

<b>Newcomer Youth Program for youth 13-24 years</b> -- leadership training * entrepreneurship * homework club * one-to-one help with resume writing and job search skills * computer drop-in * mentorship * sports clubs and recreation",Call for appointment,English ; Arabic ; Chinese (Cantonese) ; Dari ; Farsi ; Hungarian ; Polish ; Portuguese ; Sinhala ; Spanish ; Tamil,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-01T04:00:00,7552886,,,,,248 Ossington Ave,former Toronto,M6J 3A2,"{u'type': u'Point', u'coordinates': (-79.4212098226, 43.6497730874)}"
36,776,Inner City Angels,"15 Case Goods Lane, Unit 203, Toronto, ON     M5A 3C4","Waterfront Communities-The Island, 77",416-598-0242,innercityangels@mac.com,"<a href=""http://www.innercityangels.ca"" target=""_blank"">www.innercityangels.ca</a>",Schools and community agencies serving young people in neighbourhood improvement areas,Arts education opportunities in priority neighbourhood schools guided by professional artists,Visit website,English ; French - (many programs available),Unknown,"Hours vary, calls returned Mon-Fri",(50) Non Profit ; (51) Registered Charity,2015-05-07T04:00:00,30032145,,,,,15 Case Goods Lane,former Toronto,M5A 3C4,"{u'type': u'Point', u'coordinates': (-79.3585086887, 43.6499510411)}"
37,777,Jane/Finch Community and Family Centre,"4400 Jane St, Ste 108, Toronto, ON     M3N 2K4","Black Creek, 24",416-663-2733,admin@janefinchcentre.org,"<a href=""http://www.janefinchcentre.org"" target=""_blank"">www.janefinchcentre.org</a>",Varies by program * Jane/Milo program -- children 8-15 years,"Multiservice neighbourhood centre <br><br>

<b>Community Development</b> -- assistance in identifying and responding to community needs * leadership development * housing support * neighbourhood building * settlement services including assistance filling out government forms (formerly Immigrant Settlement and Adaptation Program) * <b>Community Connections Mentorship Program</b> (formerly HOST Program) -- group activities for newly arrived immigrants and refugees of all ages to help orient them to their new community and establish social and professional networks * trained and experienced volunteer mentors assist, with focus on citizenship and civic engagement or skills and career development<br><br> 

<b>Community Mental Health and Focus</b> -- Getting In Touch, social/recreational mental health program * adult support groups * children and youth programs * alcohol and drug misuse prevention program<br><br> 

<b>Community Office</b> -- secretarial services and administrative assistance to community residents and groups * volunteer coordination<br><br> 

<b>Financial Empowerment and Problem Solving</b> -- financial literacy and support services for low income individuals, families, newcomers or youth including seasonal income tax clinic, workshops, one-on-one support with a mobile community financial worker for those facing financial barriers<br><br>

<b>Centre for Green Change</b> -- engages area residents to reduce their carbon footprint * community development and capacity building approach * training to conduct green home audits * energy conservation and waste reduction audits * partnership with Toronto Region Conservation Authority and Toronto Community Housing<br><br>

<b>Social Justice</b> -- strengthen community leadership and support positive social change * Action for Neighbourhood Change (ANC), Tobermory Community Activities, Neighbourhood Building and Community Development work<br><br>

<b>The Spot</b> -- youth drop-in Mon 3 pm-9 pm, Tue 1:30 pm-9 pm, Fri 11:30 am-9 pm, Sat 11:30 am-5 pm * recreation programs * Internet access * <b>Jane/Milo program</b> -- Tue 4 pm-6 pm <br><br>

<b>Unity in Diversity: Aging at Home</b> -- adult day program for mobile seniors * weekly group sessions for socializing, recreation, health education * assists seniors from various ethnocultural groups to live independently and remain healthy * at various locations with partner agencies<br><br>

<b>Women Moving Forward</b> -- personal and skills development, career planning and civic participation for unemployed single mothers 20-29 years<br><br>

Programs offered in various community locations","Call, drop in or visit the website",English ; some programs offered in other languages,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking at the back ; community programs may be accessible,Mon-Fri 9 am-4:30 pm * some evening and weekend programs,(50) Non Profit ; (51) Registered Charity,2015-09-18T04:00:00,531080,,,,,4400 Jane St,North York,M3N 2K4,"{u'type': u'Point', u'coordinates': (-79.5201384482, 43.7652137706)}"
38,778,Griffin Centre,"1124 Finch Ave W, Unit 1, Toronto, ON     M3J 2E2","York University Heights, 27",416-222-1153,contact@griffincentre.org,"<a href=""http://www.griffincentre.org"" target=""_blank"">www.griffincentre.org</a>","<b>Mental Health Program</b> -- youth 12-18 years with mental health concerns who are experiencing difficulties at home, school or in the community * <b>Dual Diagnosis Service</b> -- youth 12-18 years with a developmental disability and complex mental health needs, and adults 16 years and older with a developmental disability, with or without accompanying complex mental health needs * <b>reachOUT Newcomer Network</b> -- youth with disabilities and LGBTQ youth 13-24 years, who are permanent residents or government assisted refugees, and their families","Flexible, community-based mental health services * assessment of strengths and needs * individual, family, group and short term counselling * crisis support * substance use treatment * sexual assault harm reduction treatment for offenders (limited capacity) * case management * school-based prevention and consultation * skill development * after school groups * summer work experience opportunities * preparation for independence * youth and family involved in service planning and decisions * consultation for parents, schools, agencies, communities<br><br>

<b>Dual Diagnosis Service (Mental Health/Development Disability)</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse * day/school support services * respite/residential care<br><br>

<b>Helping Youth Towards Solutions</b> -- harm reduction approach * individual and group counselling * family education and support * outreach to secondary schools * day school support service, in collaboration with Toronto District School Board<br><br>

<b>Mental Health Program</b> -- assists youth and their families in dealing with conflict with friends or family, problems at school and in the community, discrimination, anger, violence, abuse, substance abuse<br><br>

<b>reachOUT</b> -- counselling and support for all youth 12-18 years, and their families * drop-in support groups, outreach, advocacy, workshops, social and recreation activities for LGBTQ youth * <b>Compass</b> -- social group for LGBTQ youth 13-24 years, with or labelled with intellectual disabilities, includes workshops and recreational activities * <b>reachOUT Newcomer Network</b> -- settlement services * community capacity building<br><br>

<b>Transitional Support Services</b> -- day program for adults with developmental disabilities includes life skills and self care, household management, budgeting skills  * residential program -- supported living, 24 hour staff support * capacity 5 * maximum stay up to 2 years<br><br>

Services offered at various locations",,English ; Farsi ; Spanish ; Interpretation for other languages arranged,Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Designated parking close to entrance,"Mon-Thu 8:30 am-8 pm, Fri 8:30 am-5 pm * after hours -- 24 hour on call service",(50) Non Profit ; (51) Registered Charity,2015-06-29T04:00:00,9171888,,,,,1124 Finch Ave W,North York,M3J 2E2,"{u'type': u'Point', u'coordinates': (-79.4762619317, 43.7691999078)}"
39,779,Kababayan Multicultural Centre,"Entrance on Cowan Avenue, 1313 Queen St W, Ste 133, Toronto, ON     M6K 1L8","South Parkdale, 85",416-532-3888,,"<a href=""http://www.kababayan.org"" target=""_blank"">www.kababayan.org</a>",Filipino community * also all new immigrants living in Parkdale area,"Filipino youth, women and seniors programs * advocacy * women's support groups including group for abused women * information and referral * completion of forms * translation * counselling * employment referrals * access to trades and professions * computer classes, including class with job search component  * seniors recreation * summer residential youth camp * after school program for students in grades 9-12 * workshops * problem gambling counselling <br> <br> 

Newcomer Settlement Programs (formerly Immigrant Settlement and Adaptation Program) * <b>You and Canada Program</b> -- support services for Live-in Caregiver Program participants * orientation * counselling * income tax clinic * <b>Filipino Canadian Family Ties</b> -- reunification and adaptation program",Call or drop in,English ; Filipino ; Hindi ; Nepali,Not Accessible ; Street parking close to entrance,"Mon-Fri 9:30 am-5 pm, Sat-Sun 10 am-5 pm",(50) Non Profit ; (51) Registered Charity,2016-02-26T05:00:00,856979,,,,,1313 Queen St W,former Toronto,M6K 1L8,"{u'type': u'Point', u'coordinates': (-79.4333592155, 43.6410680396)}"
40,780,LAMP Community Health Centre,"185 Fifth St, Toronto, ON     M8V 2Z5","New Toronto, 18",416-252-6471,russf@lampchc.org,"<a href=""http://www.lampchc.org"" target=""_blank"">www.lampchc.org</a>",Open to all,"Multiservice agency providing a wide range of primary health, illness prevention, health promotion and community services<br> <br>

<b>Children and Youth Programs</b> -- parent and child programs * parenting workshops * Equally Healthy Kids School Breakfast Programs * youth leadership training, advocacy * <b>RAY (Rathburn Area Youth)</b> 416-626-6068 -- social, recreation program for youth 13-21 years living in central Etobicoke * <b>South Etobicoke Youth Assembly</b> -- workshops on leadership, skills development, teamwork, youth issues * <b>Street Level for Youth</b> -- drop-in, social and recreation programs for preteens and teens<br><br> 

<b>Family programs  Brighter Future Coalition</b> -- information and referral for parents * parent relief program and childcare for children 18 months to 6 years * <b>LAMP family centre</b>  health promotion activities and support<br> <br> 

<b>Community Support Services  Adult drop-in</b> -- for socially isolated and homeless adults Monday, Wednesday 8:30 am-2:30 pm (Sept-June), lunch provided * pre-employment counseling * <b>Social Work Program/Counseling Services</b> 416-252-9701 ext 235  short term counselling and case management * individual counselling * <b>Community development</b> -- work with community groups around urban planning issues * Harm reduction drop-in 416-252-9701 ext 287 Thursday 9:30 am-11:30 am * <b>Literacy and Basic Skills</b> -- see branch record",Varies for different services -- call or drop in,English ; French - (interpreters by appointment) ; Albanian ; Arabic ; Belorussian ; Bosnian ; Chinese (Mandarin) ; Croatian ; Czech ; Dari ; Farsi ; German ; Hindi ; Italian ; Japanese ; Latvian ; Polish ; Portuguese ; Punjabi ; Romanian ; Russian ; Span,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator - with braille,"Mon-Thu 9 am-8 pm, Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2015-09-08T04:00:00,1001336,,,,,185 Fifth St,Etobicoke,M8V 2Z5,"{u'type': u'Point', u'coordinates': (-79.5034306602, 43.6035647286)}"
41,782,Malvern Family Resource Centre,"90 Littles Rd, Toronto, ON     M1B 5E2","Rouge, 131",416-284-4184,mail@mfrc.org,"<a href=""http://www.mfrc.org"" target=""_blank"">www.mfrc.org</a>",Residents of Rouge River riding,"Multiservice centre * variety of programs at several locations * volunteer opportunities<br><br>

Family Centre -- women's support groups * teen mom's groups * income tax clinic * information and referral * parent relief * kindergarten camp * settlement counselling<br><br>

Seniors Centre -- social and recreation programs * ESL classes *  wellness information * Tamil seniors drop-in <br><br>

Youth Centre -- anti-violence project * leadership programs * Malvern Youth Cabinet * recreation, sports and after-school programs * peer mentoring * girls programs * youth support counsellor<br><br>

Middle Years Centre -- after school programs for children 6-12 years * March break and summer camp * homework support * recreation * nutrition and wellness * speakers<br><br>

Scarborough-Rouge River Ontario Early Years Centre and Women's Place -- see branch records","Call, drop in or visit the website",English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Punjabi ; Tamil ; Urdu,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-08-12T04:00:00,30033931,,,,,90 Littles Rd,Scarborough,M1B 5E2,"{u'type': u'Point', u'coordinates': (-79.2052866861, 43.8182922947)}"
42,783,Pathways to Education Canada,"439 University Ave, 16th Fl, Toronto, ON     M5G 1Y8","Bay Street Corridor, 76",416-646-0123,info@pathwayscanada.ca,"<a href=""http://www.pathwaystoeducation.ca"" target=""_blank"">www.pathwaystoeducation.ca</a>","Economically disadvantaged high-school aged youth residing in Lawrence Heights, Scarborough Village, Rexdale or Regent Park","Academic and financial support * tutoring * mentoring * advocacy * program at various local community centres
<br><br>
Regent Park Digital Bridge -- computer access to online tutoring tools at Daniels Spectrum, 585 Dundas St E","Contact local community centre -- Regent Park Community Health Centre, Rexdale Community Health Centre, Unison Health and Community Services, Lawrence Heights Site, YouthLink -- see separate entries",English,Wheelchair accessible building including main entrance but not washrooms,Mon-Fri 9 am-5 pm,(50) Non Profit,2015-07-29T04:00:00,6349942,,,,,439 University Ave,former Toronto,M5G 1Y8,"{u'type': u'Point', u'coordinates': (-79.3873463092, 43.6544502096)}"
43,784,Native Canadian Centre of Toronto,"16 Spadina Rd, Toronto, ON     M5R 2S7","Annex, 95",416-964-9087,reception@ncct.on.ca,"<a href=""http://www.ncct.on.ca"" target=""_blank"">www.ncct.on.ca</a>",No restrictions,"<b>Senior's program</b> -- outreach to Aboriginal seniors and people with disabilities * support groups * social safety visits and reassurance check * congregate dining * friendly visiting * In-Home personal support -- personal care, light meal preparation, housekeeping, transportation, shopping assistance  <br> <br>

<b>Cultural and recreational services</b> -- emphasis on Native culture * arts and crafts * Ojibwa and Cree language classes * gift shop * drumming and singing workshops, socials * Native Canadian Newsletter * Dodem Kanonhsa Cultural Facility (jointly administered with Indian and Northern Affairs) * women and men's circles * teaching circles * visiting Elder, mental health counsellor<br> <br> 

<b>Food services</b> -- community lunch Monday, Friday 12 noon -- $3 donation if employed, $2 donation if unemployed or student<br><br> 

<b>Youth services</b> -- youth program including sharing circle<br> <br> 

<b>Other services</b> -- information and referral * advocacy * urban orientation * meeting space for rent * Internet access * volunteer opportunities","Call, drop in or visit the website",English ; Cree ; Ojibway,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features,"Mon-Wed 9 am-8 pm, Thu 9 am-9 pm, Fri 9 am-6 pm, Sat 10 am-4 pm",(50) Non Profit ; (51) Registered Charity,2015-07-17T04:00:00,10736653,,,,,16 Spadina Rd,former Toronto,M5R 2S7,"{u'type': u'Point', u'coordinates': (-79.4050442676, 43.6681497717)}"
44,785,Native Child and Family Services of Toronto,"30 College St, Toronto, ON     M5G 1K2","Bay Street Corridor, 76",416-969-8510,info@nativechild.org,"<a href=""http://www.nativechild.org"" target=""_blank"">www.nativechild.org</a>","Aboriginal people, including First Nations, Inuit and Mtis * children in need of protection under the Child and Family Services Act <br><br>

<b>PAR program</b> -- offenders 18 years and older, ordered by the court to attend the program in response to a criminal charge involving domestic violence","Child protection services * family violence treatment and prevention including child sexual abuse * individual and family counselling * programs for women in abusive relationships * member agency of Support Services Network for Male Survivors in Ontario * children's mental health program * recruitment, education and support for foster and adoptive parents * addiction and mental health case management * early intervention/care planning * aftercare<br><br>

<b>Partner Assault Response (PAR)</b> -- 12 week group education and counselling program on domestic violence and non-abusive ways of resolving conflict * victims/partners of the offender provided with support including safety planning, referrals to community resources, and information on offenders progress <br><br>

<b>Prevention and Support Programs</b> -- family support and development * parenting circles * community kitchen * clothing bank <br><br>

<b>Youth Programs</b> -- drop-in for youth 16-24 years * outreach * counselling * support * transitional housing * substance abuse prevention * HIV prevention * social, recreation and cultural activities <br> <br>

<b>Educational Programs</b> -- Aboriginal Ontario Early Years Centre -- local lead agency for Ontario Early Years Centres * education and support for families with children birth-6 years * summer day camp and residential camp * GED program at Native Learning Centre (83 Alexander Street, tel. 416-393-0358) and Scarborough office -- for youth 18-20 years <br><br>
See branch records for additional information","Drop in or call <br><br>

<b>PAR program</b> -- call to schedule an intake/assessment meeting",English ; Ojibway ; interpreters for other Native languages,Wheelchair accessible automatic main entrance ; Easy access to elevator ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall ; Dedicated accessible washroom with all features,Mon-Fri 9 am-5 pm * evening appointments and programs,(50) Non Profit ; (51) Registered Charity,2016-01-28T05:00:00,7762663,,,,,30 College St,former Toronto,M5G 1K2,"{u'type': u'Point', u'coordinates': (-79.3845543724, 43.6613333748)}"
45,786,Boys and Girls Club of East Scarborough,"Corvette Junior Public School, 30 Corvette Ave, Toronto, ON     M1K 3G2","Kennedy Park, 124",416-396-5822,corvette@esbgc.org,"<a href=""http://www.esbgc.org"" target=""_blank"">www.esbgc.org</a>",Varies by program,Family resource centre * caregiver and child drop-in * parenting group * toy lending library * clothing exchange * information and referral * childminding services for parents and caregivers attending programs * social and recreation programs * free Internet access * adult computer classes * Good Food Box distribution -- see separate entry FoodShare * summer program for school age children,,English,Wheelchair accessible -- call for details * designated parking close to entrance,"Mon-Fri 8:30 am-4:30 pm * drop-in -- Mon-Thu 9:30 am-11:30 am * also Mon-Tue 1 pm-3 pm * adult computer classes Thu 9:30 am-11:30 am, 1 pm-3 pm",(50) Non Profit ; (51) Registered Charity,2015-06-01T04:00:00,323066,,,,,30 Corvette Ave,Scarborough,M1K 3G2,"{u'type': u'Point', u'coordinates': (-79.2621597254, 43.7264851046)}"
46,787,Albion Neighbourhood Services,"Rexdale Community Hub, 21 Panorama Crt, Ste 14, Toronto, ON     M9V 4E3","Mount Olive-Silverstone-Jamestown, 2",416-740-3704,ans@albionservices.ca,"<a href=""http://www.albionservices.ca"" target=""_blank"">www.albionservices.ca</a>",Children and youth 6-21 years,Community programs and recreation at various locations * spring and summer day camp * breakfast clubs * after school clubs * homework club * parent support and education * leadership training * community development *  van based youth outreach * violence prevention * special events * girls fitness program * youth recreation,Registration by phone or in person,English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall,Office -- Mon-Fri 9:30 am-5 pm * also evening and weekend programs,(50) Non Profit ; (51) Registered Charity,2015-03-02T05:00:00,2984824,,,,,21 Panorama Crt,Etobicoke,M9V 4E3,"{u'type': u'Point', u'coordinates': (-79.5815258931, 43.7463026115)}"
47,788,Canadian Tire Jumpstart,"2180 Yonge St, 15th Fl, Toronto, ON     M4S 2B9","Mount Pleasant West, 104",,jumpstart@cantire.com,"<a href=""http://jumpstart.canadiantire.ca"" target=""_blank"">jumpstart.canadiantire.ca</a>",Financially disadvantaged children 4-18 years,Grants for participation in sports and recreation programs,Spring/summer programs -- apply from January to June * fall/winter programs -- apply from July to November,English ; French,Unknown,Mon-Fri 8 am-5 pm,(50) Non Profit ; (51) Registered Charity,2014-04-29T04:00:00,11272587,,,,,2180 Yonge St,former Toronto,M4S 2B9,"{u'type': u'Point', u'coordinates': (-79.3982471385, 43.7046384672)}"
48,789,San Romanoway Revitalization Association,"10 San Romanoway, Main Fl, North Wing, Toronto, ON     M3N 2Y2","Black Creek, 24",416-739-7949,sra@rogers.com,"<a href=""http://www.srra.ca"" target=""_blank"">www.srra.ca</a>",,Individual and group counselling * counselling for assaulted women * recreation programs for youth and seniors * breakfast and after school program for children 6-13 years * homework assistance * summer and march break camp,,English,Wheelchair accessible - call for details,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2014-05-29T04:00:00,10071746,,,,,10 San Romanoway,North York,M3N 2Y2,"{u'type': u'Point', u'coordinates': (-79.5166776423, 43.7585315962)}"
49,790,Birchmount Bluffs Neighbourhood Centre,"93 Birchmount Rd, Toronto, ON     M1N 3J7","Birchcliffe-Cliffside, 122",416-396-4310,contact@bbnc.ca,"<a href=""http://www.bbnc.ca"" target=""_blank"">www.bbnc.ca</a>",No restrictions,"Community programs at various locations * social, education, cultural and recreation programs for all ages, including fitness, health and lifestyles * information and referral<br><br> 

<b>Child and Family programs</b> -- Family Resource Centre * Ontario Early Years Centre * education and support to parents and care providers * caregiver and child drop-in * parent relief * toy lending library * parenting resource library * integrated nursery school program for children with disabilities * child care registry<br><br>

<b>Active and Able Network</b> -- for persons with disabilities * drop-in program * trips * social and recreation activities * health and wellness program * information and referral * advocacy<br><br>

<b>Youth programs</b> -- drop-in, employment programs, outreach, leadership training and summer day camp<br><br>

 <b>Seniors program</b> -- health and fitness * drop-ins * trips * social and recreation activities * outreach * information and referral",Call or drop in,English ; other languages may be available,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Fri 9 am-8 pm, Sat-Sun 9 am-6 pm * summer hours may vary",(50) Non Profit ; (51) Registered Charity,2015-08-26T04:00:00,5504478,,,,,93 Birchmount Rd,Scarborough,M1N 3J7,"{u'type': u'Point', u'coordinates': (-79.263108002, 43.6956240155)}"
50,791,Access Alliance Multicultural Health and Community Services,"3079 Danforth Ave, Toronto, ON     M1L 1A8","Oakridge, 121",416-693-8677,mail@accessalliance.ca,"<a href=""http://www.accessalliance.ca"" target=""_blank"">www.accessalliance.ca</a>",Newcomer immigrants and refugees,"Health and community services<br><br>

<b>Health services</b> -- primary health care services * assessment, medical treatment * prenatal and postnatal care * immunization * diabetes * illness and disease prevention * sexual health and health education * nutrition * individual, marital, family and mental health counselling * no Ontario Health Insurance required for primary care and most specialists * <b>SHY Clinic</b>, Sexually Healthy Youth -- for ages 13-24 years * pregnancy testing and counselling * STI (sexually transmitted infections) testing and free treatment * low cost birth control * non-judgemental, confidential
<br><br>

<b>Community services</b> -- focus on newcomers, women, families with children birth-6 years * peer outreach and support * parenting and parent-child groups * prenatal nutrition and support * food skills groups * health education * lesbian, gay, bisexual, trans and queer (LGBTQ) services * expressive arts * environmental awareness * research and advocacy on newcomer, immigrant and refugee issues<br><br>

<b>Youth services</b> -- drop-in programs * settlement * out of school programs * <b>Community Connections Mentorship Program </b>(formerly HOST) -- group orientation activities for newly arrived immigrant and refugee youth * trained volunteer mentors * help in establishing social and professional networks * development of citizenship and civic engagement * skills and career development<br><br>

<b>Settlement Program</b> -- orientation * needs and eligibility assessments * information and referral * language and skills training * job search and employment counselling * networking * youth settlement * LGBTQ settlement * services in various locations<br><br>

<b>Newcomer Resource Centre</b> -- information and referral to community and government services * access to computers, Internet, photocopier, fax and telephone","Health services -- referral by community agency or self referral * Community, settlement and youth services -- most programs require an appointment, call for details",English ; interpreters available for other languages,Wheelchair accessible building including main entrance and barrier free washrooms,"Mon-Tue, Thu 9 am-8 pm; Wed 1 pm-5 pm; Fri 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2014-06-12T04:00:00,8237409,,,,,3079 Danforth Ave,Scarborough,M1L 1A8,"{u'type': u'Point', u'coordinates': (-79.2873721731, 43.6911775255)}"
